county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Alexandria County,51,51510,159467,14.935,"[38.819775, -77.091035]",
Bristol County,51,51520,17219,12.871,"[36.610521, -82.169169]",
Buena Vista County,51,51530,6641,6.438,"[37.733971, -79.352679]",
Charlottesville County,51,51540,46553,10.245,"[38.033197, -78.490351]",
Chesapeake County,51,51550,249422,338.456,"[36.755679, -76.282736]",
Colonial Heights County,51,51570,18170,7.519,"[37.264114, -77.401819]",
Covington County,51,51580,5737,5.469,"[37.781159, -79.989386]",
Danville County,51,51590,42590,42.803,"[36.591483, -79.409217]",
Emporia County,51,51595,5766,6.629,"[36.692193, -77.541334]",
Fairfax County,51,51600,24146,6.241,"[38.851844, -77.302407]",
Falls Church County,51,51610,14658,2.046,"[38.883587, -77.174338]",
Franklin County,51,51620,8180,8.277,"[36.679019, -76.937037]",
Fredericksburg County,51,51630,27982,10.45,"[38.299101, -77.483494]",
Galax County,51,51640,6720,8.236,"[36.666194, -80.918852]",
Hampton County,51,51650,137148,51.461,"[37.043069, -76.367924]",
Harrisonburg County,51,51660,51814,17.336,"[38.4408, -78.868276]",
Hopewell County,51,51670,23033,10.354,"[37.289394, -77.305511]",
Lexington County,51,51678,7320,2.499,"[37.784392, -79.443722]",
Lynchburg County,51,51680,79009,48.917,"[37.39283, -79.190579]",
Manassas County,51,51683,42772,9.843,"[38.75274, -77.475101]",
Manassas Park County,51,51685,17219,3.034,"[38.772165, -77.448688]",
Martinsville County,51,51690,13485,10.956,"[36.682806, -79.863773]",
Newport News County,51,51700,186247,68.996,"[37.090511, -76.496261]",
Norfolk County,51,51710,238005,53.275,"[36.896214, -76.260623]",
Norton County,51,51720,3687,7.477,"[36.937981, -82.623258]",
Petersburg County,51,51730,33458,22.72,"[37.209954, -77.395423]",
Poquoson County,51,51735,12460,15.357,"[37.131572, -76.381528]",
Portsmouth County,51,51740,97915,33.301,"[36.833211, -76.35284]",
Radford County,51,51750,16070,9.676,"[37.128256, -80.559565]",
Richmond County,51,51760,226610,59.925,"[37.535453, -77.466456]",
Roanoke County,51,51770,100011,42.521,"[37.27853, -79.96024]",
Salem County,51,51775,25346,14.517,"[37.286907, -80.056262]",
Staunton County,51,51790,25750,19.92,"[38.157632, -79.07724]",
Suffolk County,51,51800,94324,399.167,"[36.781867, -76.551079]",
Virginia Beach County,51,51810,459470,244.72,"[36.821388, -76.100566]",
Waynesboro County,51,51820,22196,14.97,"[38.072102, -78.898326]",
Williamsburg County,51,51830,15425,8.938,"[37.275238, -76.710426]",
Winchester County,51,51840,28120,9.193,"[39.174971, -78.170677]",
