county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Hall County,48,48191,2825,883.492,"[34.664744, -100.592641]",
Hamilton County,48,48193,8222,835.915,"[31.763001, -98.095686]",
Hansford County,48,48195,5285,919.81,"[36.213672, -101.271246]",
Hardeman County,48,48197,3549,695.114,"[34.285182, -99.701429]",
Hardin County,48,48199,56231,890.577,"[30.29938, -94.25717]",
Harris County,48,48201,4731145,1707.288,"[29.816889, -95.425716]",
Harrison County,48,48203,68839,900.059,"[32.534326, -94.427274]",
Hartley County,48,48205,5382,1461.955,"[35.994603, -102.50231]",
Haskell County,48,48207,5416,903.133,"[33.177505, -99.764733]",
Hays County,48,48209,241067,676.852,"[30.009405, -97.925385]",
Hemphill County,48,48211,3382,906.286,"[35.893039, -100.360755]",
Henderson County,48,48213,82150,873.773,"[32.241331, -95.889359]",
Hidalgo County,48,48215,870781,1571.23,"[26.235916, -98.184508]",
Hill County,48,48217,35874,958.858,"[31.998194, -97.17713]",
Hockley County,48,48219,21537,908.392,"[33.583536, -102.333262]",
Hood County,48,48221,61598,420.74,"[32.434349, -97.76226]",
Hopkins County,48,48223,36787,767.431,"[33.124495, -95.589265]",
Houston County,48,48225,22066,1230.997,"[31.297879, -95.466359]",
Howard County,48,48227,34860,900.79,"[32.241408, -101.463071]",
Hudspeth County,48,48229,3202,4570.517,"[31.368286, -105.546009]",
Hunt County,48,48231,99956,840.422,"[33.082058, -96.104497]",
Hutchinson County,48,48233,20617,887.424,"[35.679194, -101.44712]",
Irion County,48,48235,1513,1051.544,"[31.270407, -100.834684]",
Jack County,48,48237,8472,910.972,"[33.200241, -98.168766]",
Jackson County,48,48239,14988,829.443,"[28.959201, -96.594369]",
Jasper County,48,48241,32980,938.655,"[30.731569, -93.993279]",
Jeff Davis County,48,48243,1996,2264.556,"[30.608875, -103.99692]",
Jefferson County,48,48245,256526,876.735,"[30.01146, -94.067627]",
Jim Hogg County,48,48247,4838,1136.173,"[27.303139, -98.685247]",
Jim Wells County,48,48249,38891,865.176,"[27.755632, -98.062817]",
Johnson County,48,48251,179927,725.059,"[32.441328, -97.322751]",
Jones County,48,48253,19663,928.606,"[32.706551, -99.80506]",
Karnes County,48,48255,14710,747.752,"[28.85811, -97.870329]",
Kaufman County,48,48257,145310,780.708,"[32.671244, -96.358092]",
Kendall County,48,48259,44279,662.454,"[29.831401, -98.717572]",
Kenedy County,48,48261,350,1458.562,"[27.104123, -97.788911]",
Kent County,48,48263,753,902.507,"[33.25047, -100.625144]",
Kerr County,48,48265,52598,1103.333,"[30.040273, -99.159357]",
Kimble County,48,48267,4286,1250.98,"[30.486259, -99.727741]",
King County,48,48269,265,910.873,"[33.644368, -100.29575]",
Kinney County,48,48271,3129,1360.533,"[29.303419, -100.41821]",
Kleberg County,48,48273,31040,881.306,"[27.491433, -97.856967]",
Knox County,48,48275,3353,850.621,"[33.459835, -99.703999]",
Lamar County,48,48277,50088,907.332,"[33.675491, -95.534041]",
Lamb County,48,48279,13045,1016.181,"[34.028312, -102.324682]",
Lampasas County,48,48281,21627,712.528,"[31.095229, -98.1132]",
La Salle County,48,48283,6664,1486.704,"[28.353424, -99.246365]",
Lavaca County,48,48285,20337,969.709,"[29.407088, -97.04381]",
Lee County,48,48287,17478,629.039,"[30.274826, -96.971427]",
Leon County,48,48289,15719,1073.156,"[31.291285, -96.04831]",
Liberty County,48,48291,91628,1158.462,"[30.159245, -94.925523]",
Limestone County,48,48293,22146,905.43,"[31.59043, -96.519096]",
Lipscomb County,48,48295,3059,932.214,"[36.386639, -100.363063]",
Live Oak County,48,48297,11335,1039.695,"[28.336604, -98.108137]",
Llano County,48,48299,21243,934.065,"[30.680229, -98.508665]",
Loving County,48,48301,64,668.818,"[31.777896, -103.608978]",
Lubbock County,48,48303,310639,895.604,"[33.552551, -101.894337]",
Lynn County,48,48305,5596,891.867,"[33.199122, -101.817174]",
McCulloch County,48,48307,7630,1065.601,"[31.148033, -99.338842]",
McLennan County,48,48309,260579,1036.69,"[31.53998, -97.174773]",
McMullen County,48,48311,600,1139.799,"[28.438706, -98.523036]",
Madison County,48,48313,13455,466.065,"[30.955832, -95.899678]",
Marion County,48,48315,9725,380.902,"[32.789481, -94.423174]",
Martin County,48,48317,5237,914.956,"[32.173602, -101.8275]",
Mason County,48,48319,3953,928.836,"[30.754424, -99.220235]",
Matagorda County,48,48321,36255,1093.122,"[28.918149, -95.998903]",
Maverick County,48,48323,57887,1279.476,"[28.706412, -100.478172]",
Medina County,48,48325,50748,1325.361,"[29.313933, -98.953359]",
Menard County,48,48327,1962,902.027,"[30.901087, -99.776701]",
Midland County,48,48329,169983,900.358,"[32.003156, -102.10655]",
Milam County,48,48331,24754,1016.356,"[30.744263, -97.008624]",
Mills County,48,48333,4456,748.225,"[31.483977, -98.578378]",
Mitchell County,48,48335,8990,911.093,"[32.392285, -100.864009]",
Montague County,48,48337,19965,930.906,"[33.632783, -97.760712]",
Montgomery County,48,48339,620443,1042.179,"[30.228848, -95.462136]",
Moore County,48,48341,21358,899.698,"[35.902872, -101.956502]",
Morris County,48,48343,11973,251.989,"[33.073156, -94.72288]",
Motley County,48,48345,1063,989.566,"[34.013578, -100.842931]",
Nacogdoches County,48,48347,64653,946.324,"[31.625667, -94.644584]",
Navarro County,48,48349,52624,1009.702,"[32.081317, -96.485996]",
Newton County,48,48351,12217,933.677,"[30.685761, -93.754831]",
Nolan County,48,48353,14738,911.997,"[32.451081, -100.411741]",
Nueces County,48,48355,353178,839.287,"[27.728576, -97.428318]",
Ochiltree County,48,48357,10015,917.685,"[36.381051, -100.810093]",
Oldham County,48,48359,1758,1500.523,"[35.291939, -102.40757]",
Orange County,48,48361,84808,333.795,"[30.120218, -93.865826]",
Palo Pinto County,48,48363,28409,952.549,"[32.779308, -98.163963]",
Panola County,48,48365,22491,811.355,"[32.163354, -94.335132]",
Parker County,48,48367,148222,903.719,"[32.789424, -97.727364]",
Parmer County,48,48369,9869,880.822,"[34.540661, -102.815696]",
Pecos County,48,48371,15193,4763.835,"[30.89706, -102.79926]",
Polk County,48,48373,50123,1057.053,"[30.736484, -94.936813]",
Potter County,48,48375,118525,908.393,"[35.221526, -101.839818]",
Presidio County,48,48377,6131,3855.252,"[29.838522, -104.249357]",
Rains County,48,48379,12164,229.49,"[32.885663, -95.795059]",
Randall County,48,48381,140753,912.711,"[35.119788, -101.891409]",
Reagan County,48,48383,3385,1175.314,"[31.214335, -101.466333]",
Real County,48,48385,2758,699.16,"[29.723692, -99.823692]",
Red River County,48,48387,11587,1043.896,"[33.591924, -95.078313]",
Reeves County,48,48389,14748,2635.354,"[31.387128, -103.526322]",
Refugio County,48,48391,6741,770.484,"[28.290523, -97.247591]",
Roberts County,48,48393,827,924.058,"[35.716278, -100.695549]",
Robertson County,48,48395,16757,855.155,"[30.966033, -96.543247]",
Rockwall County,48,48397,107819,127.21,"[32.916866, -96.427986]",
Runnels County,48,48399,9900,1051.07,"[31.79918, -99.99361]",
Rusk County,48,48401,52214,924.199,"[32.194387, -94.798485]",
Sabine County,48,48403,9894,491.71,"[31.339019, -93.84941]",
San Augustine County,48,48405,7918,530.659,"[31.441095, -94.152849]",
San Jacinto County,48,48407,27402,569.243,"[30.549124, -95.13469]",
San Patricio County,48,48409,68755,693.321,"[27.942669, -97.39104]",
San Saba County,48,48411,5730,1135.313,"[31.188156, -98.760354]",
Schleicher County,48,48413,2451,1310.642,"[30.869698, -100.592817]",
Scurry County,48,48415,16932,905.445,"[32.704112, -100.909103]",
Shackelford County,48,48417,3105,914.286,"[32.690986, -99.306244]",
Shelby County,48,48419,24022,795.589,"[31.823503, -94.181492]",
Sherman County,48,48421,2782,922.86,"[36.33275, -102.008261]",
Smith County,48,48423,233479,921.485,"[32.326145, -95.300981]",
Somervell County,48,48425,9205,186.207,"[32.234974, -97.752235]",
Starr County,48,48427,65920,1223.179,"[26.387766, -98.843415]",
Stephens County,48,48429,9101,896.721,"[32.75621, -98.902179]",
Sterling County,48,48431,1372,923.449,"[31.83476, -100.993285]",
Stonewall County,48,48433,1245,916.313,"[33.144536, -100.232471]",
Sutton County,48,48435,3372,1453.935,"[30.563302, -100.627673]",
Swisher County,48,48437,6971,890.16,"[34.532201, -101.771575]",
Tarrant County,48,48439,2110640,865.364,"[32.764453, -97.247663]",
Taylor County,48,48441,143208,915.536,"[32.417775, -99.767126]",
Terrell County,48,48443,760,2357.958,"[30.160108, -102.352197]",
Terry County,48,48445,11831,888.851,"[33.182705, -102.271846]",
Throckmorton County,48,48447,1440,912.552,"[33.141356, -99.139569]",
Titus County,48,48449,31247,406.302,"[33.175862, -94.966537]",
Tom Green County,48,48451,120003,1522.32,"[31.451021, -100.461171]",
Travis County,48,48453,1290188,994.313,"[30.314282, -97.748216]",
Trinity County,48,48455,13602,693.795,"[30.998905, -95.244685]",
Tyler County,48,48457,19798,924.39,"[30.738682, -94.367741]",
Upshur County,48,48459,40892,582.98,"[32.697929, -94.92227]",
Upton County,48,48461,3308,1241.323,"[31.180959, -102.124982]",
Uvalde County,48,48463,24564,1551.922,"[29.243318, -99.757846]",
Val Verde County,48,48465,47586,3144.75,"[29.380944, -100.898072]",
Van Zandt County,48,48467,59541,842.572,"[32.577505, -95.837646]",
Victoria County,48,48469,91319,882.087,"[28.825017, -96.991571]",
Walker County,48,48471,76400,784.224,"[30.725832, -95.538696]",
Waller County,48,48473,56794,513.297,"[29.996824, -95.953615]",
Ward County,48,48475,11644,835.603,"[31.56929, -102.912603]",
Washington County,48,48477,35805,604.194,"[30.181502, -96.397834]",
Webb County,48,48479,267114,3361.498,"[27.522979, -99.475549]",
